investor_id,sip_count,avg_gap_days,max_gap_days,status,last_sip_date
INV000183,9,56.12,216,at-risk,2025-05-14
INV000191,7,56.5,161,at-risk,2025-03-17
INV000194,7,58.0,109,at-risk,2025-05-06
INV000195,6,77.4,114,at-risk,2025-04-30
INV000196,7,69.0,176,at-risk,2025-05-05
INV000201,9,51.12,100,at-risk,2025-03-01
INV000205,8,62.57,193,at-risk,2025-04-09
INV000210,8,70.71,163,at-risk,2025-05-23
INV000214,6,94.8,306,at-risk,2025-04-29
INV000217,6,92.0,183,at-risk,2025-05-09
INV000228,9,59.75,188,at-risk,2025-05-02
INV000236,8,67.14,112,at-risk,2025-05-02
INV000238,6,93.6,287,at-risk,2025-05-21
INV000239,8,48.86,105,at-risk,2025-03-24
INV000243,6,88.2,137,at-risk,2025-04-10
INV000245,6,92.2,164,at-risk,2025-05-14
INV000249,7,45.5,162,at-risk,2025-01-07
INV000252,6,50.4,96,at-risk,2024-10-03
INV000255,6,48.6,103,at-risk,2024-11-03
INV000256,6,70.2,155,at-risk,2025-02-16
INV000259,6,70.6,165,at-risk,2025-01-12
INV000260,8,59.57,206,at-risk,2025-02-28
INV000262,8,53.57,122,at-risk,2025-04-28
INV000263,8,68.43,271,at-risk,2025-05-04
INV000265,10,53.44,140,at-risk,2025-05-20
INV000268,7,62.33,143,at-risk,2025-01-30
INV000279,9,43.38,133,at-risk,2025-02-11
INV000280,9,55.75,191,at-risk,2025-04-12
INV000283,6,68.0,195,at-risk,2025-01-16
INV000287,7,69.83,301,at-risk,2025-03-11
INV000289,8,62.71,142,at-risk,2025-04-04
INV000291,6,89.0,196,at-risk,2025-05-03
INV000292,7,46.0,95,at-risk,2025-02-13
INV000293,7,47.0,91,at-risk,2024-10-17
INV000297,6,90.6,163,at-risk,2025-04-29
INV000299,6,85.2,240,at-risk,2025-05-22
INV000304,7,70.0,204,at-risk,2025-03-27
INV000309,8,52.0,157,at-risk,2025-01-06
INV000310,7,75.83,164,at-risk,2025-05-25
INV000318,6,97.4,175,at-risk,2025-05-30
INV000319,7,73.5,201,at-risk,2025-05-03
INV000321,7,72.83,204,at-risk,2025-03-15
INV000328,9,37.5,73,at-risk,2025-01-03
INV000331,8,50.71,163,at-risk,2025-01-12
INV000334,7,25.5,60,active,2024-12-06
INV000335,6,96.0,279,at-risk,2025-05-19
INV000339,6,94.0,195,at-risk,2025-05-30
INV000341,8,54.43,191,at-risk,2025-03-05
INV000356,6,54.4,157,at-risk,2025-03-12
INV000359,9,54.12,197,at-risk,2025-04-27
INV000363,7,77.0,153,at-risk,2025-05-19
INV000369,6,43.8,112,at-risk,2024-10-11
INV000371,8,59.29,147,at-risk,2025-03-08
INV000372,7,54.5,121,at-risk,2025-01-24
INV000380,6,97.0,272,at-risk,2025-05-17
INV000388,9,53.62,119,at-risk,2025-05-01
INV000392,7,77.17,205,at-risk,2025-05-18
INV000395,7,55.67,119,at-risk,2025-03-13
INV000396,6,83.2,153,at-risk,2025-03-15
INV000399,10,49.56,68,at-risk,2025-03-29
INV000400,6,62.6,101,at-risk,2025-03-10
INV000403,6,58.2,90,at-risk,2025-03-17
INV000407,6,82.4,157,at-risk,2025-03-21
INV000408,6,46.8,125,at-risk,2024-12-05
INV000412,8,43.71,70,at-risk,2025-05-08
INV000414,8,66.29,233,at-risk,2025-04-20
INV000415,7,66.17,128,at-risk,2025-05-01
INV000418,6,86.8,238,at-risk,2025-03-25
INV000427,7,68.5,116,at-risk,2025-03-21
INV000428,8,52.14,164,at-risk,2024-12-31
INV000429,6,77.2,187,at-risk,2025-02-11
INV000437,6,97.8,295,at-risk,2025-05-04
INV000440,8,69.57,162,at-risk,2025-05-18
INV000441,6,60.8,151,at-risk,2025-04-28
INV000444,6,73.2,129,at-risk,2025-04-27
INV000445,9,57.75,129,at-risk,2025-04-30
INV000446,6,38.6,101,at-risk,2024-08-24
INV000449,6,46.8,70,at-risk,2025-02-02
INV000452,9,49.38,123,at-risk,2025-04-08
INV000457,6,91.4,256,at-risk,2025-05-27
INV000460,6,43.4,107,at-risk,2024-10-05
INV000463,7,65.17,181,at-risk,2025-02-03
INV000466,7,73.33,135,at-risk,2025-04-10
INV000467,10,56.67,272,at-risk,2025-05-25
INV000469,7,70.5,183,at-risk,2025-05-27
INV000483,8,70.43,252,at-risk,2025-05-25
INV000491,6,95.0,202,at-risk,2025-05-22
INV000493,10,47.56,201,at-risk,2025-05-03
INV000497,7,71.83,191,at-risk,2025-05-28
INV000499,7,77.83,157,at-risk,2025-05-09
INV000507,7,70.17,249,at-risk,2025-04-23
INV000512,9,54.75,112,at-risk,2025-05-01
INV000522,6,100.8,309,at-risk,2025-05-30
INV000524,7,55.0,91,at-risk,2025-05-15
INV000527,6,50.8,116,at-risk,2025-05-19
INV000529,6,59.2,110,at-risk,2025-03-31
INV000531,7,47.0,82,at-risk,2025-04-27
INV000539,7,77.0,153,at-risk,2025-05-02
INV000540,7,73.5,123,at-risk,2025-05-05
INV000543,7,83.67,218,at-risk,2025-05-27
INV000545,6,80.6,181,at-risk,2025-05-04
INV000546,9,55.0,154,at-risk,2025-03-29
INV000547,6,55.8,140,at-risk,2024-12-19
INV000549,6,96.2,146,at-risk,2025-05-14
INV000553,6,72.0,172,at-risk,2025-04-17
INV000554,6,70.2,171,at-risk,2025-02-03
INV000556,8,52.43,156,at-risk,2025-03-09
INV000562,6,74.4,197,at-risk,2025-03-15
INV000563,7,76.33,198,at-risk,2025-05-16
INV000566,7,35.0,119,active,2025-03-22
INV000567,6,63.8,166,at-risk,2025-03-29
INV000568,6,62.4,180,at-risk,2025-01-19
INV000570,8,67.29,186,at-risk,2025-05-28
INV000573,7,50.83,154,at-risk,2024-11-27
INV000575,6,71.6,155,at-risk,2025-03-10
INV000578,7,66.83,164,at-risk,2025-05-27
INV000581,7,78.33,160,at-risk,2025-05-14
INV000586,7,44.5,111,at-risk,2024-10-16
INV000589,9,59.12,90,at-risk,2025-05-19
INV000591,7,64.5,112,at-risk,2025-05-07
INV000593,6,74.2,179,at-risk,2025-04-02
INV000596,9,51.75,140,at-risk,2025-03-21
INV000597,6,88.6,198,at-risk,2025-04-21
INV000599,7,81.5,171,at-risk,2025-05-16
INV000607,7,66.67,209,at-risk,2025-02-17
INV000608,6,100.2,324,at-risk,2025-05-24
INV000609,6,47.0,87,at-risk,2024-08-23
INV000612,11,49.3,169,at-risk,2025-05-23
INV000615,7,55.83,139,at-risk,2025-02-13
INV000624,7,31.67,53,active,2024-08-08
INV000625,6,86.4,134,at-risk,2025-05-28
INV000630,7,68.67,161,at-risk,2025-03-18
INV000631,6,54.0,145,at-risk,2024-12-01
INV000634,9,52.25,147,at-risk,2025-03-15
INV000635,6,75.0,240,at-risk,2025-03-23
INV000641,6,54.8,126,at-risk,2025-05-04
INV000642,9,53.5,139,at-risk,2025-05-21
INV000645,6,66.0,127,at-risk,2025-01-07
INV000646,7,62.33,138,at-risk,2025-05-26
INV000651,6,94.0,304,at-risk,2025-05-04
INV000652,6,93.8,262,at-risk,2025-05-23
INV000657,8,64.71,106,at-risk,2025-04-25
INV000662,8,66.14,185,at-risk,2025-04-09
INV000663,6,94.4,247,at-risk,2025-04-20
INV000665,10,36.22,148,at-risk,2025-04-13
INV000667,6,68.0,134,at-risk,2025-04-26
INV000673,6,92.8,235,at-risk,2025-04-21
INV000675,6,62.8,155,at-risk,2025-04-19
INV000676,11,35.3,106,at-risk,2025-04-28
INV000678,7,63.33,140,at-risk,2025-04-27
INV000683,9,54.5,137,at-risk,2025-03-19
INV000690,8,56.29,134,at-risk,2025-05-22
INV000691,6,66.4,163,at-risk,2024-12-24
INV000698,9,52.25,219,at-risk,2025-04-13
INV000699,6,42.8,147,at-risk,2024-10-27
INV000701,7,83.67,298,at-risk,2025-05-29
INV000707,9,34.38,106,active,2025-05-09
INV000709,7,65.17,128,at-risk,2025-03-04
INV000710,6,88.6,264,at-risk,2025-05-15
INV000714,9,37.0,95,at-risk,2025-03-30
INV000718,7,57.83,118,at-risk,2024-12-28
INV000719,7,72.83,185,at-risk,2025-05-11
INV000724,6,81.2,227,at-risk,2025-05-22
INV000725,7,67.67,92,at-risk,2025-04-24
INV000734,8,64.0,180,at-risk,2025-05-15
INV000737,6,92.6,168,at-risk,2025-05-08
INV000747,6,84.6,205,at-risk,2025-03-23
INV000750,9,26.5,84,active,2025-03-03
INV000751,9,53.0,193,at-risk,2025-05-27
INV000754,7,72.33,103,at-risk,2025-05-10
INV000759,7,83.0,156,at-risk,2025-05-20
INV000761,7,75.17,173,at-risk,2025-05-22
INV000768,8,60.0,124,at-risk,2025-03-12
INV000772,6,46.0,81,at-risk,2025-01-31
INV000774,7,73.67,169,at-risk,2025-05-03
INV000776,8,59.43,116,at-risk,2025-04-27
INV000777,6,66.0,121,at-risk,2025-01-29
INV000778,8,59.71,182,at-risk,2025-05-14
INV000779,6,75.0,153,at-risk,2025-03-31
INV000783,6,89.8,187,at-risk,2025-05-08
INV000785,6,32.6,66,active,2025-03-22
INV000786,9,64.12,199,at-risk,2025-05-28
INV000789,8,55.14,225,at-risk,2025-03-21
INV000793,8,69.14,149,at-risk,2025-05-12
INV000803,7,77.17,147,at-risk,2025-04-11
INV000814,6,94.0,195,at-risk,2025-04-29
INV000822,7,55.5,141,at-risk,2024-12-31
INV000823,7,39.67,69,at-risk,2024-10-16
INV000827,8,58.29,122,at-risk,2025-05-18
INV000830,6,72.2,165,at-risk,2025-04-17
INV000833,8,67.29,182,at-risk,2025-04-23
INV000836,6,84.8,123,at-risk,2025-02-28
INV000843,6,55.6,102,at-risk,2025-02-03
INV000844,7,66.17,151,at-risk,2025-03-12
INV000847,6,47.8,75,at-risk,2025-01-22
INV000853,10,49.33,193,at-risk,2025-04-10
INV000854,9,61.25,170,at-risk,2025-05-09
INV000858,9,44.88,157,at-risk,2025-04-21
INV000862,6,91.2,372,at-risk,2025-05-14
INV000864,6,40.8,106,at-risk,2024-08-07
INV000865,9,45.75,99,at-risk,2025-04-16
INV000869,6,65.4,100,at-risk,2025-01-19
INV000873,7,73.5,299,at-risk,2025-04-25
INV000874,9,62.12,149,at-risk,2025-05-15
INV000877,6,59.4,159,at-risk,2025-04-14
INV000881,10,46.11,155,at-risk,2025-02-28
INV000887,7,65.67,268,at-risk,2025-02-25
INV000888,7,80.33,166,at-risk,2025-05-23
INV000893,7,59.5,147,at-risk,2025-01-27
INV000894,6,55.0,105,at-risk,2025-04-27
INV000901,6,54.0,95,at-risk,2025-02-17
INV000907,6,59.2,139,at-risk,2025-01-29
INV000920,6,75.6,220,at-risk,2025-02-12
INV000926,6,80.0,111,at-risk,2025-02-08
INV000929,7,58.17,116,at-risk,2025-03-12
INV000930,8,32.43,118,active,2025-03-03
INV000935,9,30.88,73,active,2024-10-16
INV000939,8,60.57,154,at-risk,2025-04-22
INV000942,7,53.0,92,at-risk,2025-01-21
INV000949,7,67.5,135,at-risk,2025-05-13
INV000950,6,91.0,215,at-risk,2025-05-26
INV000971,7,46.83,139,at-risk,2025-05-16
INV000974,7,73.5,143,at-risk,2025-03-22
INV000977,10,48.78,147,at-risk,2025-03-27
INV000979,6,79.8,115,at-risk,2025-05-12
INV000980,8,44.43,121,at-risk,2025-03-03
INV000981,6,50.4,104,at-risk,2025-05-21
INV000986,7,60.83,182,at-risk,2025-02-27
INV000994,6,63.8,167,at-risk,2025-01-04
INV001001,8,60.29,137,at-risk,2025-04-12
INV001002,7,41.67,85,at-risk,2024-12-07
INV001005,6,93.6,206,at-risk,2025-05-20
INV001008,7,64.67,191,at-risk,2025-03-10
INV001013,6,96.8,164,at-risk,2025-05-07
INV001017,6,67.0,142,at-risk,2025-02-16
INV001019,9,44.88,180,at-risk,2025-02-12
INV001021,7,68.67,186,at-risk,2025-02-23
INV001023,8,72.43,202,at-risk,2025-05-22
INV001025,6,38.8,76,at-risk,2025-01-29
INV001026,6,69.4,132,at-risk,2025-01-16
INV001037,10,42.0,86,at-risk,2025-03-10
INV001039,6,66.2,187,at-risk,2025-03-07
INV001041,7,83.0,195,at-risk,2025-05-13
INV001047,7,66.17,142,at-risk,2025-05-26
INV001048,8,47.0,84,at-risk,2025-02-11
INV001051,8,54.14,139,at-risk,2025-04-16
INV001053,8,55.86,116,at-risk,2025-03-15
INV001055,6,93.2,177,at-risk,2025-04-24
INV001060,9,53.38,89,at-risk,2025-03-21
INV001061,9,51.12,141,at-risk,2025-04-03
INV001063,8,43.29,120,at-risk,2024-12-16
INV001064,9,59.5,160,at-risk,2025-04-29
INV001069,8,41.29,98,at-risk,2025-03-18
INV001070,6,97.0,329,at-risk,2025-05-04
INV001092,7,77.33,186,at-risk,2025-05-13
INV001099,8,26.14,63,active,2025-01-27
INV001102,7,55.33,87,at-risk,2025-01-03
INV001115,6,81.4,290,at-risk,2025-04-18
INV001116,9,58.12,194,at-risk,2025-05-27
INV001117,8,61.71,137,at-risk,2025-04-30
INV001130,7,76.83,131,at-risk,2025-05-14
INV001137,7,57.0,120,at-risk,2025-02-05
INV001140,6,60.4,125,at-risk,2025-02-25
INV001141,6,97.6,132,at-risk,2025-05-29
INV001142,7,42.83,106,at-risk,2025-01-09
INV001156,6,102.4,175,at-risk,2025-05-28
INV001160,8,57.57,99,at-risk,2025-05-10
INV001161,6,80.6,159,at-risk,2025-03-01
INV001163,7,67.33,255,at-risk,2025-03-09
INV001167,6,96.2,207,at-risk,2025-04-28
INV001170,6,68.2,119,at-risk,2025-02-07
INV001173,6,67.0,146,at-risk,2025-04-28
INV001178,7,79.67,140,at-risk,2025-05-23
INV001180,6,74.4,198,at-risk,2025-04-06
INV001181,8,67.43,163,at-risk,2025-05-29
INV001190,6,97.0,198,at-risk,2025-05-03
INV001195,8,53.43,167,at-risk,2025-03-25
INV001196,6,92.2,169,at-risk,2025-05-26
INV001202,8,58.0,103,at-risk,2025-05-20
INV001206,6,83.6,190,at-risk,2025-05-28
INV001208,7,51.83,107,at-risk,2025-01-18
INV001210,9,36.88,93,at-risk,2024-12-24
INV001217,8,60.14,205,at-risk,2025-04-25
INV001219,8,50.86,118,at-risk,2025-02-23
INV001220,7,77.17,104,at-risk,2025-04-15
INV001223,7,70.83,175,at-risk,2025-03-27
INV001234,8,60.57,119,at-risk,2025-03-26
INV001235,9,59.0,161,at-risk,2025-05-20
INV001237,6,98.0,182,at-risk,2025-05-22
INV001238,7,68.5,220,at-risk,2025-05-12
INV001242,6,69.8,128,at-risk,2025-01-02
INV001251,6,82.0,223,at-risk,2025-03-27
INV001262,7,44.83,116,at-risk,2025-04-01
INV001274,7,73.33,161,at-risk,2025-05-20
INV001275,7,66.67,140,at-risk,2025-03-17
INV001282,6,67.0,196,at-risk,2025-05-19
INV001287,6,92.2,157,at-risk,2025-04-14
INV001288,7,45.67,148,at-risk,2025-01-07
INV001291,6,76.2,181,at-risk,2025-04-12
INV001295,9,50.75,165,at-risk,2025-02-14
INV001298,7,71.83,158,at-risk,2025-05-19
INV001299,9,51.25,121,at-risk,2025-04-11
INV001304,6,97.6,177,at-risk,2025-05-08
INV001308,9,54.62,147,at-risk,2025-04-10
INV001310,6,81.2,232,at-risk,2025-03-15
INV001314,10,50.44,130,at-risk,2025-05-02
INV001315,7,51.83,124,at-risk,2024-12-16
INV001316,6,92.4,198,at-risk,2025-05-12
INV001317,6,84.8,162,at-risk,2025-03-23
INV001318,10,46.22,150,at-risk,2025-03-18
INV001326,8,69.43,182,at-risk,2025-05-29
INV001329,6,68.2,97,at-risk,2025-02-26
INV001331,6,94.2,202,at-risk,2025-04-19
INV001332,7,80.0,179,at-risk,2025-05-28
INV001333,7,78.67,185,at-risk,2025-04-24
INV001336,8,65.86,198,at-risk,2025-05-16
INV001348,7,47.83,121,at-risk,2024-12-19
INV001351,7,70.5,208,at-risk,2025-03-24
INV001355,6,60.2,187,at-risk,2025-03-31
INV001356,6,79.2,191,at-risk,2025-04-05
INV001359,7,72.5,313,at-risk,2025-05-19
INV001361,7,50.5,103,at-risk,2024-11-26
INV001367,6,99.0,222,at-risk,2025-05-12
INV001375,7,78.5,176,at-risk,2025-05-20
INV001376,7,78.67,181,at-risk,2025-05-01
INV001383,8,56.14,117,at-risk,2025-03-25
INV001387,9,57.25,130,at-risk,2025-05-04
INV001394,8,63.57,171,at-risk,2025-04-26
INV001400,6,76.8,266,at-risk,2025-01-19
INV001401,6,68.6,197,at-risk,2025-03-24
INV001406,10,47.67,202,at-risk,2025-05-15
INV001407,6,45.2,141,at-risk,2024-08-21
INV001415,8,68.14,173,at-risk,2025-05-08
INV001418,6,88.6,187,at-risk,2025-04-18
INV001419,6,85.8,137,at-risk,2025-03-15
INV001423,8,48.57,105,at-risk,2025-01-08
INV001428,6,79.4,174,at-risk,2025-05-19
INV001432,6,71.4,175,at-risk,2025-02-05
INV001434,6,80.6,178,at-risk,2025-05-17
INV001442,9,57.12,238,at-risk,2025-05-23
INV001454,7,73.0,176,at-risk,2025-03-16
INV001455,8,64.71,153,at-risk,2025-04-07
INV001457,6,43.8,63,at-risk,2024-08-27
INV001458,7,59.83,101,at-risk,2025-01-25
INV001466,6,44.6,82,at-risk,2024-10-05
INV001472,6,79.0,141,at-risk,2025-02-08
INV001482,6,80.6,280,at-risk,2025-05-18
INV001485,9,55.0,150,at-risk,2025-04-20
INV001491,6,98.8,260,at-risk,2025-05-15
INV001497,9,63.0,138,at-risk,2025-05-19
INV001504,9,54.25,134,at-risk,2025-05-29
INV001507,6,86.2,167,at-risk,2025-04-07
INV001510,7,66.83,124,at-risk,2025-04-10
INV001514,7,51.83,72,at-risk,2025-01-03
INV001516,6,56.8,85,at-risk,2025-05-11
INV001526,6,50.4,134,at-risk,2024-10-26
INV001530,7,64.67,122,at-risk,2025-02-05
INV001532,7,56.83,101,at-risk,2025-02-11
INV001536,7,69.0,189,at-risk,2025-02-21
INV001545,6,92.8,208,at-risk,2025-05-07
INV001547,7,72.17,119,at-risk,2025-05-06
INV001548,6,80.6,197,at-risk,2025-04-27
INV001550,7,79.0,191,at-risk,2025-05-20
INV001551,6,61.8,131,at-risk,2025-05-06
INV001562,10,44.22,146,at-risk,2025-04-03
INV001564,8,55.71,157,at-risk,2025-04-17
INV001569,6,83.4,314,at-risk,2025-04-24
INV001579,7,75.0,193,at-risk,2025-03-29
INV001580,7,45.67,119,at-risk,2025-04-23
INV001585,6,56.6,182,at-risk,2025-01-20
INV001587,7,65.0,144,at-risk,2025-05-05
INV001597,7,56.0,165,at-risk,2025-05-21
INV001599,6,58.2,133,at-risk,2024-11-01
INV001602,6,93.8,294,at-risk,2025-04-20
INV001603,7,54.5,93,at-risk,2024-12-29
INV001605,8,60.57,136,at-risk,2025-03-07
INV001606,7,67.67,148,at-risk,2025-05-19
INV001616,9,53.0,117,at-risk,2025-03-28
INV001623,6,92.0,188,at-risk,2025-05-01
INV001625,6,72.0,209,at-risk,2025-02-10
INV001628,8,51.71,139,at-risk,2025-05-24
INV001629,7,67.5,82,at-risk,2025-05-07
INV001631,6,57.0,101,at-risk,2025-04-15
INV001636,9,48.88,159,at-risk,2025-01-30
INV001641,6,88.4,168,at-risk,2025-04-05
INV001644,6,65.6,89,at-risk,2025-03-28
INV001645,6,67.6,202,at-risk,2025-02-16
INV001649,10,51.67,120,at-risk,2025-05-17
INV001651,7,78.67,130,at-risk,2025-04-21
INV001653,6,55.2,94,at-risk,2024-11-20
INV001654,7,56.0,137,at-risk,2025-01-18
INV001656,8,59.86,246,at-risk,2025-04-12
INV001662,6,60.2,147,at-risk,2024-11-18
INV001672,9,34.0,130,active,2024-12-27
INV001673,11,49.3,181,at-risk,2025-05-18
INV001680,9,58.88,200,at-risk,2025-04-25
INV001683,7,72.5,186,at-risk,2025-05-17
INV001689,6,83.6,153,at-risk,2025-05-17
INV001690,7,81.17,114,at-risk,2025-05-15
INV001691,6,82.0,254,at-risk,2025-04-29
INV001694,8,66.14,144,at-risk,2025-05-13
INV001697,9,62.5,287,at-risk,2025-05-22
INV001699,6,83.2,183,at-risk,2025-02-21
INV001709,6,51.8,84,at-risk,2024-09-25
INV001711,7,65.83,189,at-risk,2025-04-12
INV001712,6,66.6,144,at-risk,2025-02-25
INV001715,8,68.29,188,at-risk,2025-05-23
INV001718,6,84.0,237,at-risk,2025-04-04
INV001724,7,69.67,134,at-risk,2025-04-11
INV001728,8,50.57,131,at-risk,2025-01-03
INV001737,7,56.83,191,at-risk,2025-01-14
INV001738,9,47.5,153,at-risk,2025-03-10
INV001739,9,52.5,96,at-risk,2025-04-23
INV001741,6,89.4,260,at-risk,2025-05-06
INV001744,7,78.5,155,at-risk,2025-04-26
INV001752,7,69.33,170,at-risk,2025-04-16
INV001753,11,42.8,128,at-risk,2025-05-09
INV001757,8,55.57,121,at-risk,2025-04-25
INV001759,10,49.56,126,at-risk,2025-05-08
INV001769,6,98.0,166,at-risk,2025-05-07
INV001772,6,95.0,184,at-risk,2025-05-10
INV001775,8,29.14,65,active,2025-05-04
INV001777,9,57.62,156,at-risk,2025-05-02
INV001778,8,63.57,283,at-risk,2025-03-30
INV001797,7,79.67,132,at-risk,2025-05-30
INV001800,7,49.67,132,at-risk,2024-11-08
INV001802,7,61.67,151,at-risk,2025-05-07
INV001803,6,59.0,127,at-risk,2025-03-16
INV001804,8,55.86,126,at-risk,2025-03-03
INV001806,8,60.0,209,at-risk,2025-02-27
INV001809,6,95.6,249,at-risk,2025-05-13
INV001811,9,54.25,196,at-risk,2025-05-12
INV001822,6,19.8,43,active,2024-06-23
INV001823,8,58.14,172,at-risk,2025-03-07
INV001826,6,51.2,128,at-risk,2024-11-07
INV001828,8,44.43,91,at-risk,2024-11-29
INV001831,6,72.8,181,at-risk,2025-03-02
INV001837,7,62.83,157,at-risk,2025-03-27
INV001841,6,56.2,129,at-risk,2025-03-29
INV001853,8,47.43,95,at-risk,2025-01-17
INV001858,8,55.14,261,at-risk,2025-04-26
INV001865,7,63.5,145,at-risk,2025-01-26
INV001866,6,58.8,117,at-risk,2024-12-17
INV001870,7,76.0,164,at-risk,2025-04-06
INV001871,7,55.0,101,at-risk,2024-12-21
INV001883,6,99.2,203,at-risk,2025-05-26
INV001885,6,71.2,128,at-risk,2025-02-24
INV001886,9,50.75,129,at-risk,2025-04-27
INV001890,6,102.6,207,at-risk,2025-05-29
INV001891,6,96.4,261,at-risk,2025-05-30
INV001909,8,62.14,121,at-risk,2025-05-01
INV001912,6,86.4,256,at-risk,2025-03-23
INV001920,7,39.0,76,at-risk,2025-04-24
INV001921,8,68.57,225,at-risk,2025-05-22
INV001923,7,80.67,106,at-risk,2025-05-04
INV001924,7,59.17,119,at-risk,2024-12-26
INV001927,6,58.8,91,at-risk,2025-03-12
INV001929,6,66.2,242,at-risk,2025-05-23
INV001937,8,60.43,253,at-risk,2025-05-27
INV001938,9,43.0,112,at-risk,2025-04-01
INV001943,6,74.4,171,at-risk,2025-03-04
INV001950,7,60.17,134,at-risk,2025-05-20
INV001951,7,58.83,124,at-risk,2025-04-14
INV001954,6,86.8,273,at-risk,2025-04-15
INV001955,6,76.0,199,at-risk,2025-03-01
INV001961,6,83.4,234,at-risk,2025-02-27
INV001969,6,79.2,163,at-risk,2025-02-14
INV001971,8,54.71,87,at-risk,2025-04-29
INV001972,8,42.43,153,at-risk,2024-11-06
INV001978,6,83.2,112,at-risk,2025-05-04
INV001979,6,55.4,100,at-risk,2025-05-01
INV001982,6,85.8,289,at-risk,2025-05-21
INV001986,7,47.67,98,at-risk,2025-04-15
INV001987,7,67.0,241,at-risk,2025-05-15
INV001990,8,45.29,91,at-risk,2025-04-30
INV001993,6,56.6,147,at-risk,2024-11-24
INV001995,6,48.6,94,at-risk,2024-10-18
INV001997,6,88.6,168,at-risk,2025-03-22
INV002001,6,84.8,335,at-risk,2025-05-15
INV002006,6,73.6,157,at-risk,2025-03-22
INV002010,6,74.6,103,at-risk,2025-01-18
INV002017,7,44.67,99,at-risk,2025-01-16
INV002018,6,63.6,106,at-risk,2025-02-05
INV002019,6,68.8,117,at-risk,2025-05-12
INV002025,7,55.83,92,at-risk,2025-04-24
INV002033,7,55.0,123,at-risk,2024-11-29
INV002034,8,69.0,166,at-risk,2025-05-03
INV002037,6,33.2,61,active,2024-08-17
INV002038,6,84.0,202,at-risk,2025-03-11
INV002051,6,78.6,159,at-risk,2025-04-27
INV002052,7,44.17,114,at-risk,2024-10-30
INV002069,10,47.56,95,at-risk,2025-03-12
INV002070,7,81.33,118,at-risk,2025-05-12
INV002083,10,51.67,193,at-risk,2025-05-13
INV002085,6,65.0,220,at-risk,2025-01-19
INV002090,6,90.2,231,at-risk,2025-05-07
INV002092,7,33.5,54,active,2024-12-07
INV002101,6,80.2,248,at-risk,2025-02-13
INV002102,6,44.8,63,at-risk,2025-01-26
INV002107,8,71.14,298,at-risk,2025-05-21
